Arrondissement,annee_mutation,prix_m2,type_local,nombre_pieces_principales
8,2020,56785.71428571428,Appartement,1.0
1,2020,10600.0,Appartement,2.0
3,2020,13750.0,Appartement,2.0
3,2020,11813.157894736842,Appartement,1.0
3,2020,39.02439024390244,Local industriel. commercial ou assimilé,0.0
3,2020,636.3636363636364,Appartement,4.0
8,2020,17086.458333333332,Local industriel. commercial ou assimilé,0.0
1,2020,60658.4,Appartement,1.0
1,2020,19694.285714285714,Appartement,2.0
3,2020,21401.408450704224,Appartement,2.0
1,2020,20700.0,Appartement,1.0
8,2020,12297.297297297297,Appartement,2.0
8,2020,10666.666666666666,Local industriel. commercial ou assimilé,0.0
3,2020,13000.0,Appartement,1.0
3,2020,13332.777777777777,Appartement,1.0
8,2020,16937.5,Appartement,1.0
3,2020,10266.315789473685,Appartement,2.0
3,2020,5400.0,Local industriel. commercial ou assimilé,0.0
3,2020,12613.333333333334,Appartement,1.0
3,2020,11166.666666666666,Appartement,3.0
3,2020,11780.82191780822,Appartement,3.0
3,2020,13650.79365079365,Appartement,3.0
3,2020,6226.415094339623,Local industriel. commercial ou assimilé,0.0
8,2020,13245.61403508772,Appartement,3.0
8,2020,14065.75,Appartement,2.0
3,2020,13768.115942028986,Appartement,3.0
8,2020,12096.333333333334,Appartement,3.0
8,2020,15000.0,Appartement,1.0
1,2020,9222.222222222223,Local industriel. commercial ou assimilé,0.0
8,2020,12000.0,Appartement,2.0
3,2020,13709.677419354839,Appartement,2.0
3,2020,13166.666666666666,Appartement,1.0
8,2020,8109.755365853658,Appartement,4.0
1,2020,11848.91304347826,Appartement,2.0
3,2020,9377.75,Appartement,1.0
8,2020,17330.0,Appartement,2.0
3,2020,19642.85714285714,Local industriel. commercial ou assimilé,0.0
3,2020,18181.81818181818,Appartement,4.0
3,2020,183333.33333333334,Appartement,1.0
3,2020,22448.979591836734,Appartement,3.0
3,2020,22000.0,Appartement,5.0
3,2020,10000.0,Appartement,1.0
3,2020,10800.0,Appartement,1.0
1,2020,8404.941176470587,Appartement,2.0
1,2020,2905.8823529411766,Appartement,2.0
8,2020,12941.176470588236,Appartement,1.0
3,2020,12857.142857142857,Appartement,3.0
8,2020,12580.645161290322,Local industriel. commercial ou assimilé,0.0
8,2020,63593.333333333336,Appartement,1.0
8,2020,23847.5,Appartement,2.0
8,2020,13987.5,Appartement,1.0
1,2020,39571.42857142857,Appartement,2.0
3,2020,12291.666666666666,Appartement,1.0
3,2020,1000.0,Appartement,1.0
8,2020,9285.714285714286,Appartement,6.0
8,2020,12816.901408450703,Appartement,4.0
8,2020,1863666.6666666667,Local industriel. commercial ou assimilé,0.0
8,2020,50827.27272727273,Local industriel. commercial ou assimilé,0.0
1,2020,5000.0,Appartement,1.0
8,2020,12105.108695652174,Appartement,2.0
8,2020,337682.0625,Appartement,2.0
3,2020,13382.35294117647,Appartement,2.0
3,2020,13698.538461538461,Appartement,5.0
8,2020,166.66666666666666,Appartement,2.0
8,2020,185.1851851851852,Appartement,2.0
3,2020,21666.666666666668,Appartement,1.0
3,2020,15757.575757575758,Appartement,2.0
3,2020,735.2941176470588,Appartement,3.0
3,2020,10200.0,Appartement,1.0
3,2020,11580.434782608696,Appartement,1.0
8,2020,17.36111111111111,Local industriel. commercial ou assimilé,0.0
8,2020,13541.666666666666,Appartement,1.0
3,2020,13608.695652173914,Appartement,1.0
8,2020,5300.0,Local industriel. commercial ou assimilé,0.0
3,2020,12395.833333333334,Appartement,2.0
8,2020,17352.941176470587,Appartement,1.0
3,2020,15727.272727272728,Appartement,2.0
3,2020,133.33333333333334,Appartement,1.0
8,2020,12700.0,Appartement,2.0
1,2020,6250.0,Appartement,2.0
3,2020,17000.0,Appartement,1.0
8,2020,10833.333333333334,Local industriel. commercial ou assimilé,0.0
8,2020,8250.0,Appartement,1.0
3,2020,8857.142857142857,Appartement,1.0
8,2020,12751.677852348994,Appartement,5.0
3,2020,14696.969696969696,Appartement,2.0
3,2020,16400.0,Local industriel. commercial ou assimilé,0.0
3,2020,16733.333333333332,Appartement,1.0
3,2020,7346.666666666667,Local industriel. commercial ou assimilé,0.0
1,2020,7317.073170731707,Local industriel. commercial ou assimilé,0.0
8,2020,18253.521126760563,Appartement,3.0
3,2020,11428.57142857143,Appartement,1.0
3,2020,31184.21052631579,Appartement,2.0
3,2020,197500.0,Local industriel. commercial ou assimilé,0.0
8,2020,8169.2307692307695,Appartement,3.0
3,2020,12694.285714285714,Appartement,3.0
3,2020,13444.444444444445,Appartement,2.0
8,2020,45121.95121951219,Appartement,2.0
8,2020,18316.831683168315,Appartement,3.0
8,2020,264285.71428571426,Appartement,1.0
8,2020,15555.555555555555,Appartement,1.0
8,2020,14375.0,Appartement,2.0
8,2020,179190.9090909091,Local industriel. commercial ou assimilé,0.0
8,2020,15411.764705882353,Local industriel. commercial ou assimilé,0.0
8,2020,15357.142857142857,Appartement,1.0
1,2020,12464.285714285714,Appartement,1.0
1,2020,11482.142857142857,Appartement,1.0
3,2020,7567.5675675675675,Appartement,2.0
8,2020,10264.64,Appartement,2.0
8,2020,18578.125,Appartement,2.0
3,2020,13695.652173913044,Appartement,2.0
8,2020,7000.0,Appartement,2.0
8,2020,24300.0,Appartement,1.0
8,2020,11045.454545454546,Appartement,1.0
3,2020,14900.0,Appartement,3.0
8,2020,8039.21568627451,Local industriel. commercial ou assimilé,0.0
3,2020,13191.489361702128,Appartement,2.0
3,2020,1308.8235294117646,Appartement,3.0
1,2020,14792.763157894737,Appartement,3.0
1,2020,9206.896551724138,Appartement,1.0
3,2020,14595.833333333334,Appartement,3.0
3,2020,14500.0,Appartement,2.0
3,2020,11121.621621621622,Appartement,3.0
8,2020,514.2857142857143,Local industriel. commercial ou assimilé,0.0
8,2020,310.3448275862069,Local industriel. commercial ou assimilé,0.0
8,2020,19000.0,Appartement,1.0
8,2020,9615.384615384615,Local industriel. commercial ou assimilé,0.0
8,2020,13134.375,Local industriel. commercial ou assimilé,0.0
8,2020,3719.4690265486724,Appartement,5.0
1,2020,30000.0,Appartement,1.0
1,2020,1088.7096774193549,Local industriel. commercial ou assimilé,0.0
8,2020,10016.033333333333,Appartement,3.0
8,2020,3175.911931818182,Local industriel. commercial ou assimilé,0.0
8,2020,1250.0,Appartement,1.0
3,2020,13369.09090909091,Appartement,2.0
8,2020,57.04225352112676,Appartement,5.0
3,2020,10749.363636363636,Appartement,1.0
3,2020,13989.23076923077,Appartement,1.0
3,2020,53333.333333333336,Local industriel. commercial ou assimilé,0.0
3,2020,32000.0,Appartement,2.0
8,2020,35416.666666666664,Local industriel. commercial ou assimilé,0.0
8,2020,21518.98734177215,Local industriel. commercial ou assimilé,0.0
8,2020,13380.851063829787,Appartement,2.0
8,2020,34343.43434343435,Local industriel. commercial ou assimilé,0.0
8,2020,47777.77777777778,Appartement,1.0
3,2020,17189.1935483871,Appartement,4.0
3,2020,12600.0,Appartement,1.0
8,2020,34615.38461538462,Local industriel. commercial ou assimilé,0.0
8,2020,34204.275534441804,Local industriel. commercial ou assimilé,0.0
8,2020,48322.147651006715,Local industriel. commercial ou assimilé,0.0
8,2020,48979.5918367347,Local industriel. commercial ou assimilé,0.0
8,2020,36272.040302267,Local industriel. commercial ou assimilé,0.0
3,2020,16562.5,Appartement,1.0
3,2020,23333.333333333332,Appartement,2.0
3,2020,26923.076923076922,Appartement,1.0
8,2020,9827.586206896553,Appartement,2.0
8,2020,41250.0,Local industriel. commercial ou assimilé,0.0
8,2020,10506.32911392405,Appartement,2.0
8,2020,76363.63636363637,Appartement,2.0
3,2020,12108.8,Appartement,1.0
3,2020,14210.526315789473,Appartement,2.0
8,2020,12000.0,Local industriel. commercial ou assimilé,0.0
3,2020,375.0,Local industriel. commercial ou assimilé,0.0
8,2020,108500.0,Local industriel. commercial ou assimilé,0.0
8,2020,173600.0,Local industriel. commercial ou assimilé,0.0
3,2020,11555.555555555555,Appartement,1.0
3,2020,11640.0,Appartement,1.0
3,2020,1071.4285714285713,Appartement,2.0
1,2020,13571.42857142857,Appartement,2.0
1,2020,6666.666666666667,Local industriel. commercial ou assimilé,0.0
3,2020,18178.43137254902,Appartement,3.0
8,2020,14081.632653061224,Appartement,4.0
3,2020,103750.0,Local industriel. commercial ou assimilé,0.0
1,2020,20714.285714285714,Appartement,1.0
1,2020,10694.444444444445,Appartement,4.0
1,2020,14720.0,Appartement,1.0
1,2020,10294.117647058823,Local industriel. commercial ou assimilé,0.0
8,2020,210400.0,Local industriel. commercial ou assimilé,0.0
3,2020,19850.3,Appartement,1.0
1,2020,11833.333333333334,Appartement,2.0
3,2020,10615.384615384615,Appartement,4.0
3,2020,16406.25,Appartement,3.0
8,2020,13423.076923076924,Appartement,1.0
3,2020,8474.57627118644,Appartement,4.0
3,2020,6181.818181818182,Appartement,3.0
8,2020,9782.608695652174,Appartement,1.0
8,2020,18607.11111111111,Appartement,1.0
3,2020,12700.0,Appartement,2.0
3,2020,11730.76923076923,Appartement,2.0
8,2020,10712.5,Local industriel. commercial ou assimilé,0.0
8,2020,6765.789473684211,Local industriel. commercial ou assimilé,0.0
3,2020,14473.684210526315,Appartement,2.0
8,2020,11447.368421052632,Appartement,3.0
1,2020,7840.909090909091,Appartement,2.0
8,2020,14444.444444444445,Appartement,1.0
3,2020,7716.535433070866,Appartement,5.0
8,2020,7668.292682926829,Local industriel. commercial ou assimilé,0.0
1,2020,6650.0,Appartement,3.0
8,2020,4500.0,Appartement,1.0
3,2020,13913.04347826087,Appartement,1.0
1,2020,375.0,Appartement,6.0
3,2020,12105.263157894737,Appartement,5.0
8,2020,8950.819672131147,Appartement,2.0
3,2020,12967.213114754099,Appartement,2.0
1,2020,13050.847457627118,Appartement,2.0
8,2020,14940.47619047619,Appartement,3.0
1,2020,3500.0,Local industriel. commercial ou assimilé,0.0
3,2020,2833.3333333333335,Local industriel. commercial ou assimilé,0.0
8,2020,13106.796116504855,Appartement,3.0
3,2020,16290.90909090909,Appartement,1.0
3,2020,344.82758620689657,Appartement,1.0
